oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
159,11207,0.6335,0.7635,0.2196,0.3665,0.2365,High Connected,Medium High Connected,4,6,112,20.7,16,21,45,2.14
160,11208,0.7109,0.8062,0.1925,0.2891,0.1938,Medium High Connected,Medium Low Connected,4,4,49,16.5,12,34,19,0.56
161,11209,0.7563,0.7695,0.1275,0.2437,0.2305,Medium High Connected,Medium High Connected,4,5,74,12,5,4,30,7.50
162,11210,0.7488,0.7481,0.1404,0.2512,0.2519,Medium High Connected,Medium High Connected,5,1,21,5.2,3,13,12,0.92
163,11211,0.6243,0.7193,0.2668,0.3757,0.2807,High Connected,High Connected,4,5,63,24.7,23,6,27,4.50
164,11212,0.5891,0.6826,0.2701,0.4109,0.3174,High Connected,High Connected,4,11,198,100.3,12,28,38,1.36
165,11213,0.638,0.7456,0.2311,0.362,0.2544,High Connected,Medium High Connected,4,5,106,43,17,12,26,2.17
166,11214,0.7165,0.7497,0.1695,0.2835,0.2503,Medium High Connected,Medium High Connected,4,3,52,12.4,9,18,21,1.17
167,11215,0.8484,0.8604,0.0681,0.1516,0.1396,Low Connected,Medium Low Connected,6,3,39,3.7,37,12,33,2.75
168,11216,0.6882,0.7916,0.1781,0.3118,0.2084,Medium High Connected,Medium Low Connected,4,5,91,9.7,27,13,16,1.23
169,11217,0.8215,0.8494,0.0789,0.1785,0.1506,Medium Low Connected,Medium Low Connected,4,2,29,6.8,40,12,39,3.25
170,11218,0.7038,0.7401,0.1866,0.2962,0.2599,Medium High Connected,High Connected,5,2,60,11.3,4,4,24,6.00
171,11219,0.5463,0.6211,0.3191,0.4537,0.3789,High Connected,High Connected,5,4,36,22.6,2,12,28,2.33
172,11220,0.6683,0.739,0.2223,0.3317,0.261,High Connected,High Connected,4,2,35,7.5,6,6,34,5.67
173,11221,0.5824,0.7773,0.2149,0.4176,0.2227,High Connected,Medium High Connected,4,7,108,41.8,3,5,30,6.00
174,11222,0.7464,0.8343,0.1368,0.2536,0.1657,Medium High Connected,Medium Low Connected,4,2,32,22.5,21,8,10,1.25
175,11223,0.7092,0.7291,0.1715,0.2908,0.2709,Medium High Connected,High Connected,4,6,61,29.9,3,10,15,1.50
